name,country,climate,travel_style,budget_tier,best_season,tags
Hsipaw,Myanmar,highland,adventure,budget,Nov-Feb,"trekking,hiking,adventure,remote,hill-tribes,mountain,expedition,climbing,wildlife"
Hpa An,Myanmar,tropical,culture,budget,Nov-Mar,"cave,temple,culture,ancient,heritage,monument,karst,shrine,traditional,ruins"
Mrauk U,Myanmar,tropical,culture,budget,Nov-Feb,"ancient,temple,ruins,heritage,remote,monument,cultural,shrine,history,palace"
Luang Prabang,Laos,tropical,culture,budget,Oct-Apr,"UNESCO,temple,culture,heritage,traditional,monastery,shrine,history,monument,colonial"
Vang Vieng,Laos,tropical,adventure,budget,Oct-May,"tubing,kayaking,rock-climbing,cave,adventure,trekking,budget,cheap,backpacking,hostel"
Vientiane,Laos,tropical,culture,budget,Oct-Apr,"temple,culture,heritage,traditional,museum,monument,colonial,shrine,ancient,history"
4000 Islands,Laos,tropical,relaxation,budget,Oct-May,"peaceful,hammock,tranquil,budget,calm,quiet,serene,cheap,affordable,island"
Nong Khiaw,Laos,tropical,relaxation,budget,Oct-Apr,"peaceful,quiet,serene,remote,tranquil,calm,trekking,river,mountain,zen"
Plain of Jars,Laos,highland,culture,budget,Oct-Apr,"ancient,UNESCO,heritage,mysterious,cultural,monument,history,ruins,traditional"
Luang Namtha,Laos,highland,adventure,budget,Oct-Apr,"trekking,hiking,adventure,remote,tribal,expedition,cycling,wildlife,mountain"
Pakse,Laos,tropical,adventure,budget,Oct-Apr,"trekking,hiking,cycling,adventure,waterfall,coffee,expedition,mountain,kayaking"
Paro,Bhutan,highland,culture,luxury,"Mar-May,Sep-Nov","temple,monastery,trekking,heritage,culture,traditional,ancient,shrine,UNESCO,hiking"
Thimphu,Bhutan,highland,culture,luxury,"Mar-May,Sep-Nov","culture,museum,monastery,heritage,traditional,temple,ancient,monument,shrine,UNESCO"
Punakha,Bhutan,highland,culture,luxury,"Mar-May,Sep-Nov","monastery,temple,culture,heritage,traditional,ancient,monument,shrine,fortress"
Colombo,Sri Lanka,tropical,culture,budget,Dec-Apr,"culture,temple,history,heritage,colonial,traditional,market,monument,shrine,ancient"
Galle,Sri Lanka,tropical,culture,mid,Dec-Apr,"Dutch,UNESCO,heritage,colonial,architecture,culture,fort,monument,history,beach,traditional"
Sigiriya,Sri Lanka,tropical,adventure,mid,Jan-Apr,"ancient,ruins,trekking,climbing,adventure,heritage,UNESCO,monument,history,expedition"
